Country,SurveyYear,BirthYear,Satisfied,Income,Education,Conserv,Religious,Male,Marital,DemocracyBad,StrongLeaderBad,ArmyLeaderBad
12,2014,1993,8,5,7,5,5,0,6,2,1,2
12,2014,1990,5,6,7,5,6,1,6,1,1,2
12,2014,1988,4,6,5,6,6,1,6,2,1,2
12,2014,1986,8,5,6,6,6,1,6,3,2,4
12,2014,1979,8,7,3,5,7,1,1,2,2,4
12,2014,1978,7,5,8,6,6,0,1,1,1,1
12,2014,1973,7,7,6,9,7,0,1,3,1,4
12,2014,1970,5,2,2,5,6,1,1,1,1,1
12,2014,1955,6,5,1,5,6,0,1,1,1,2
12,2014,1942,5,4,1,6,6,1,1,2,2,1
12,2014,1991,5,5,8,5,6,1,6,3,1,2
12,2014,1985,3,4,5,6,6,0,1,2,2,2
12,2014,1984,5,3,5,5,6,0,1,2,2,2
12,2014,1984,3,5,6,5,6,1,6,3,2,4
12,2014,1983,4,4,3,6,6,0,6,2,2,2
12,2014,1974,3,4,6,5,6,1,1,2,2,2
12,2014,1970,7,5,3,5,6,0,1,3,3,2
12,2014,1967,6,5,3,5,6,1,1,3,2,4
12,2014,1962,5,4,1,7,6,0,1,2,2,3
12,2014,1946,5,5,1,6,6,1,1,2,1,2
12,2014,1995,10,7,6,NA,1,1,6,1,4,4
12,2014,1994,1,1,2,NA,1,0,6,1,4,2
12,2014,1991,10,1,8,NA,1,1,6,1,4,4
12,2014,1990,1,5,9,NA,1,1,6,1,4,4
12,2014,1984,10,3,7,NA,1,1,6,1,NA,NA
12,2014,1978,7,3,4,NA,7,0,1,2,4,4
12,2014,1970,5,5,3,2,1,1,1,1,4,4
12,2014,1967,5,4,6,4,7,0,1,1,4,4
12,2014,1959,10,5,2,NA,1,1,1,1,4,4
12,2014,1949,10,5,3,NA,7,0,1,2,1,1
12,2014,1994,7,6,2,NA,1,0,6,1,4,4
12,2014,1991,10,4,3,NA,1,1,6,1,3,3
12,2014,1983,7,4,3,NA,1,0,1,1,3,3
12,2014,1982,10,5,2,NA,6,1,1,1,4,4
12,2014,1972,9,2,3,NA,1,1,4,1,4,4
12,2014,1968,10,5,6,8,6,0,1,1,2,4
12,2014,1959,4,5,1,NA,1,1,1,1,3,3
12,2014,1938,10,3,1,NA,7,0,1,1,1,NA
12,2014,1938,10,3,1,NA,7,0,1,1,1,NA
12,2014,1996,10,4,6,NA,1,0,6,1,4,4
12,2014,1993,10,5,8,NA,2,1,6,3,3,3
12,2014,1986,8,9,3,NA,4,1,6,3,4,2
12,2014,1985,8,1,6,NA,4,0,6,1,4,4
12,2014,1982,7,3,7,5,4,1,6,2,2,3
12,2014,1975,NA,10,6,NA,1,0,1,NA,NA,NA
12,2014,1974,8,7,7,5,5,1,3,1,2,3
12,2014,1970,5,5,5,NA,2,0,1,1,3,3
12,2014,1959,10,7,3,8,7,0,6,1,3,3
12,2014,1951,8,7,1,NA,2,1,1,NA,NA,NA
12,2014,1989,8,5,3,7,6,0,6,1,3,2
12,2014,1991,8,3,3,2,2,1,6,1,2,3
12,2014,1990,7,5,9,NA,1,1,6,1,1,2
12,2014,1990,5,3,2,NA,7,1,6,NA,NA,NA
12,2014,1990,6,9,9,NA,1,1,6,2,3,3
12,2014,1989,9,8,3,NA,6,0,6,1,3,4
12,2014,1989,5,4,5,3,7,0,6,2,3,3
12,2014,1986,4,5,9,5,7,0,6,2,NA,NA
12,2014,1986,1,5,9,5,7,0,6,1,4,4
12,2014,1985,6,5,6,6,1,1,3,2,4,3
12,2014,1927,1,3,1,NA,2,1,1,NA,NA,4
12,2014,1992,7,6,4,10,4,1,6,1,1,2
12,2014,1990,6,7,9,NA,1,1,6,3,1,3
12,2014,1990,7,6,9,7,7,1,6,1,4,3
12,2014,1986,6,7,4,NA,4,1,6,2,4,3
12,2014,1969,8,8,3,NA,2,1,6,2,2,3
12,2014,1965,10,4,1,NA,6,1,1,1,4,4
12,2014,1963,10,6,7,1,7,1,1,1,3,4
12,2014,1953,8,4,2,1,3,1,1,1,4,4
12,2014,1952,10,7,9,1,6,0,1,4,1,4
12,2014,1970,4,3,1,NA,2,0,1,NA,NA,NA
12,2014,1983,5,5,7,NA,6,1,6,2,3,NA
12,2014,1982,5,2,7,NA,6,1,1,2,NA,NA
12,2014,1982,1,5,4,NA,7,0,6,2,NA,NA
12,2014,1981,5,2,5,NA,6,1,1,2,NA,NA
12,2014,1977,1,5,3,NA,7,0,1,2,NA,NA
12,2014,1968,5,5,6,NA,6,0,6,2,3,NA
12,2014,1966,5,4,6,NA,6,0,6,2,3,NA
12,2014,1954,7,3,1,NA,7,0,6,NA,NA,1
12,2014,1945,NA,2,1,NA,7,0,6,NA,NA,NA
12,2014,1964,7,3,1,NA,7,0,6,NA,NA,4
12,2014,1991,5,5,7,NA,6,1,6,2,3,NA
12,2014,1989,5,5,8,NA,6,1,6,2,3,NA
12,2014,1980,5,2,6,NA,5,1,6,NA,NA,NA
12,2014,1979,5,5,2,NA,6,0,6,2,3,NA
12,2014,1977,5,5,3,NA,6,0,6,2,3,NA
12,2014,1974,5,5,3,NA,6,0,1,2,3,NA
12,2014,1972,1,5,9,NA,7,0,1,2,NA,NA
12,2014,1970,5,3,2,NA,6,1,6,2,3,NA
12,2014,1950,NA,2,1,NA,7,0,1,NA,NA,NA
12,2014,1944,7,3,1,NA,7,0,6,NA,NA,1
12,2014,1987,5,1,9,NA,6,1,6,2,NA,2
12,2014,1984,5,1,9,NA,6,1,6,2,NA,NA
12,2014,1981,1,5,3,NA,7,0,6,2,NA,NA
12,2014,1978,5,2,8,NA,5,1,6,NA,NA,NA
12,2014,1973,1,5,8,NA,7,0,1,2,NA,NA
12,2014,1971,5,5,8,NA,6,0,6,2,3,NA
12,2014,1970,5,5,8,NA,6,0,6,2,3,NA
12,2014,1955,7,3,1,NA,7,0,6,NA,NA,1
12,2014,1952,NA,2,1,NA,7,0,6,NA,NA,NA
12,2014,1952,7,3,1,NA,7,0,6,NA,NA,1
12,2014,1982,5,5,7,NA,6,1,6,2,3,NA
12,2014,1982,5,5,4,NA,6,0,6,2,3,NA
12,2014,1981,5,5,7,NA,6,1,6,2,3,NA
12,2014,1981,5,5,4,NA,6,0,6,2,3,NA
12,2014,1980,1,5,2,NA,7,0,6,2,NA,NA
12,2014,1980,1,5,7,NA,7,0,6,2,NA,NA
12,2014,1979,5,2,8,NA,5,1,6,NA,NA,NA
12,2014,1977,5,2,8,NA,5,1,6,NA,NA,NA
12,2014,1976,1,5,6,NA,7,0,6,2,NA,NA
12,2014,1976,5,2,7,NA,5,1,6,NA,NA,NA
12,2014,1976,5,5,4,NA,6,1,6,2,3,NA
12,2014,1974,1,5,3,NA,7,0,6,2,NA,NA
12,2014,1974,5,2,4,NA,5,1,6,NA,NA,NA
12,2014,1973,5,4,4,NA,6,1,6,2,3,NA
12,2014,1970,NA,2,1,NA,7,0,1,NA,NA,NA
12,2014,1967,1,5,6,NA,7,0,1,2,NA,NA
12,2014,1964,NA,2,1,NA,7,0,1,NA,NA,NA
12,2014,1954,7,3,1,NA,7,0,6,NA,NA,1
12,2014,1952,5,5,3,NA,6,1,6,2,3,NA
12,2014,1980,5,5,2,NA,6,0,1,2,3,NA
12,2014,1994,5,7,6,NA,6,1,6,2,3,NA
12,2014,1989,7,5,7,NA,6,1,6,2,3,NA
12,2014,1980,5,2,7,NA,6,1,1,2,NA,NA
12,2014,1976,5,5,6,NA,6,0,6,2,3,NA
12,2014,1975,7,3,1,NA,6,1,6,2,3,NA
12,2014,1974,1,5,6,NA,7,0,6,2,NA,NA
12,2014,1974,5,5,6,NA,6,0,6,2,3,NA
12,2014,1970,1,5,8,NA,7,0,1,2,NA,NA
12,2014,1954,NA,2,1,NA,7,0,1,NA,1,NA
12,2014,1944,NA,2,1,NA,7,0,6,NA,NA,NA
12,2014,1995,2,4,7,5,7,0,6,1,3,3
12,2014,1992,4,4,7,7,2,1,6,2,3,2
12,2014,1982,4,2,2,8,4,1,1,1,3,3
12,2014,1982,8,2,2,8,3,0,6,2,4,2
12,2014,1982,7,2,2,8,6,0,1,2,3,2
12,2014,1976,4,3,1,NA,1,1,6,1,NA,4
12,2014,1973,3,2,3,8,7,0,1,1,3,3
12,2014,1969,7,4,2,8,4,1,1,1,4,4
12,2014,1959,5,2,1,9,6,0,1,NA,NA,NA
12,2014,1948,6,2,1,NA,2,1,1,NA,NA,NA
12,2014,1995,5,4,4,8,6,0,3,2,3,3
12,2014,1992,8,1,4,5,1,0,6,2,4,2
12,2014,1991,8,2,7,7,3,1,6,1,3,3
12,2014,1986,5,2,2,NA,4,1,1,2,3,NA
12,2014,1981,3,2,3,NA,4,1,1,NA,2,NA
12,2014,1976,7,3,2,7,6,0,6,2,3,3
12,2014,1971,6,3,3,NA,2,1,1,2,NA,NA
12,2014,1970,3,3,1,6,6,0,1,2,3,NA
12,2014,1956,4,3,2,8,7,0,1,2,NA,NA
12,2014,1954,4,2,1,NA,4,1,5,NA,NA,NA
12,2014,1991,6,4,2,6,6,1,1,1,3,3
12,2014,1989,7,2,3,5,6,0,6,1,4,2
12,2014,1987,7,5,5,5,6,1,1,1,3,2
12,2014,1985,8,5,7,5,1,0,6,1,4,2
12,2014,1977,10,6,6,10,7,1,6,1,1,3
12,2014,1974,8,2,6,5,5,0,6,1,4,2
12,2014,1973,8,6,6,5,7,0,1,1,3,3
12,2014,1973,8,6,3,5,3,1,3,1,4,2
12,2014,1961,7,4,6,5,6,0,1,1,4,2
12,2014,1951,9,5,1,NA,6,1,1,4,1,4
12,2014,1994,10,6,5,NA,2,1,6,3,3,3
12,2014,1992,6,3,8,NA,2,1,6,1,3,3
12,2014,1986,9,5,3,NA,7,0,6,4,NA,4
12,2014,1984,10,4,7,NA,2,1,1,3,4,3
12,2014,1984,5,5,9,NA,7,0,6,1,4,4
12,2014,1983,8,4,7,NA,7,0,6,2,4,4
12,2014,1967,9,2,2,5,6,1,3,3,4,3
12,2014,1965,8,8,6,NA,7,0,1,NA,NA,NA
12,2014,1962,1,7,2,6,6,1,1,2,2,3
12,2014,1942,6,5,1,NA,7,0,5,2,4,4
12,2014,1995,10,3,3,NA,1,0,6,1,4,2
12,2014,1995,9,4,6,NA,1,1,6,1,NA,4
12,2014,1990,9,3,3,8,4,1,6,1,4,4
12,2014,1983,9,2,3,NA,1,1,1,1,NA,NA
12,2014,1981,10,4,6,8,1,0,1,1,4,NA
12,2014,1974,3,1,2,NA,1,1,1,1,NA,NA
12,2014,1969,8,4,3,5,1,0,1,1,4,NA
12,2014,1941,9,4,1,5,1,0,1,1,4,4
12,2014,1994,9,4,8,NA,1,0,6,1,NA,4
12,2014,1964,6,5,1,8,1,1,1,1,4,4
12,2014,1996,8,6,7,NA,1,0,6,1,NA,NA
12,2014,1996,7,3,7,NA,1,1,6,1,NA,NA
12,2014,1995,8,3,6,5,1,1,6,1,4,3
12,2014,1993,10,2,8,8,1,1,6,1,4,4
12,2014,1983,5,5,2,6,1,1,1,1,3,3
12,2014,1981,7,4,6,10,1,0,1,1,4,2
12,2014,1973,8,4,1,NA,7,1,1,3,3,3
12,2014,1970,8,5,2,6,1,0,1,1,1,4
12,2014,1964,9,4,1,NA,1,1,1,1,4,4
12,2014,1943,7,3,1,NA,1,0,1,1,4,3
12,2014,1992,10,9,8,5,7,0,6,1,4,3
12,2014,1992,10,8,8,5,7,0,6,2,3,3
12,2014,1991,6,2,9,NA,6,0,6,NA,NA,NA
12,2014,1990,8,2,9,NA,7,0,6,2,1,3
12,2014,1988,7,5,9,NA,6,0,6,NA,NA,NA
12,2014,1988,5,5,9,NA,7,0,6,2,3,3
12,2014,1969,10,8,7,NA,2,1,1,2,1,3
12,2014,1962,NA,9,1,NA,2,1,1,NA,NA,NA
12,2014,1962,10,9,6,NA,1,1,1,NA,NA,NA
12,2014,1959,10,8,7,NA,7,0,1,2,1,3
12,2014,1990,5,6,8,5,7,1,6,1,4,1
12,2014,1987,6,8,9,NA,6,0,6,1,3,4
12,2014,1985,5,6,8,NA,7,0,6,4,3,4
12,2014,1980,10,9,6,NA,1,1,1,1,1,NA
12,2014,1972,9,5,9,NA,6,0,1,1,4,1
12,2014,1970,7,4,2,6,7,0,1,1,1,1
12,2014,1965,8,9,9,NA,7,0,1,1,2,2
12,2014,1956,9,8,6,1,7,0,1,1,1,1
12,2014,1941,8,8,1,NA,7,1,5,NA,NA,NA
12,2014,1991,8,7,8,NA,1,1,6,1,2,4
12,2014,1995,6,9,7,7,1,1,6,2,3,3
12,2014,1995,6,8,8,6,4,0,6,2,4,3
12,2014,1991,5,7,2,5,1,0,6,2,4,3
12,2014,1990,6,5,6,4,6,1,6,2,3,4
12,2014,1982,5,4,9,3,7,1,1,1,4,3
12,2014,1980,6,8,6,6,1,0,6,2,4,4
12,2014,1968,6,8,2,6,1,1,1,2,3,3
12,2014,1965,6,8,2,7,7,0,1,3,4,4
12,2014,1964,6,7,1,4,1,1,1,2,4,3
12,2014,1940,5,6,1,7,7,0,1,3,4,4
12,2014,1994,8,8,8,NA,7,0,6,NA,4,NA
12,2014,1994,8,7,6,NA,2,1,3,2,3,3
12,2014,1993,8,5,6,5,5,1,6,NA,2,NA
12,2014,1990,8,6,2,NA,7,0,6,NA,NA,NA
12,2014,1980,8,7,4,NA,4,1,1,2,3,NA
12,2014,1976,7,7,4,NA,7,0,1,NA,3,NA
12,2014,1970,6,8,2,4,4,1,1,2,3,3
12,2014,1965,9,7,2,NA,4,1,1,NA,3,3
12,2014,1955,7,5,1,6,1,1,1,1,3,4
