B_COUNTRY,SurveyYear,BirthYear,Satisfied,Income,Education,Immigrant,ImmigrantMother,ImmigrantFather,Age,Male,Marital,GDPpercap,giniWB,polity,fhregion,lifeexpect
231,2020,1995,5,8,4,1,1,1,25,1,6,2219.71,35,1,6,66.24
231,2020,1972,1,1,NA,1,1,1,48,0,1,2219.71,35,1,6,66.24
231,2020,1980,9,3,1,1,1,1,40,1,1,2219.71,35,1,6,66.24
231,2020,1994,6,8,6,1,1,1,26,0,1,2219.71,35,1,6,66.24
231,2020,1990,7,7,7,1,1,1,30,1,2,2219.71,35,1,6,66.24
231,2020,1986,7,6,6,1,1,1,34,0,1,2219.71,35,1,6,66.24
231,2020,1987,5,4,2,1,1,1,33,1,3,2219.71,35,1,6,66.24
231,2020,1998,1,5,1,1,1,1,22,0,6,2219.71,35,1,6,66.24
231,2020,1968,5,5,2,1,1,1,52,1,1,2219.71,35,1,6,66.24
231,2020,1988,8,3,3,1,1,1,32,1,1,2219.71,35,1,6,66.24
231,2020,1997,6,5,6,1,1,1,23,0,6,2219.71,35,1,6,66.24
231,2020,1951,9,5,1,1,1,1,69,1,3,2219.71,35,1,6,66.24
231,2020,1980,7,5,1,1,1,1,40,0,1,2219.71,35,1,6,66.24
231,2020,1998,5,6,1,1,1,1,22,0,6,2219.71,35,1,6,66.24
231,2020,2000,3,5,1,1,1,1,20,1,6,2219.71,35,1,6,66.24
231,2020,1974,5,5,8,1,1,1,46,0,1,2219.71,35,1,6,66.24
231,2020,1975,6,5,3,1,1,1,45,1,5,2219.71,35,1,6,66.24
231,2020,2000,7,5,3,1,1,1,20,0,6,2219.71,35,1,6,66.24
231,2020,1988,7,3,2,1,1,1,32,1,1,2219.71,35,1,6,66.24
231,2020,1992,5,5,5,1,1,1,28,1,6,2219.71,35,1,6,66.24
231,2020,1997,9,5,5,1,1,1,23,0,6,2219.71,35,1,6,66.24
231,2020,1995,8,5,5,1,1,1,25,1,6,2219.71,35,1,6,66.24
231,2020,1994,3,8,5,1,1,1,26,0,6,2219.71,35,1,6,66.24
231,2020,1985,3,6,3,1,1,1,35,0,1,2219.71,35,1,6,66.24
231,2020,1995,5,10,5,1,1,1,25,1,1,2219.71,35,1,6,66.24
231,2020,2000,9,5,3,1,1,1,20,0,6,2219.71,35,1,6,66.24
231,2020,1998,8,5,6,1,1,1,22,1,1,2219.71,35,1,6,66.24
231,2020,1962,1,5,7,1,1,1,58,0,1,2219.71,35,1,6,66.24
231,2020,1988,5,6,7,1,1,1,32,0,1,2219.71,35,1,6,66.24
231,2020,1990,7,10,3,1,1,1,30,1,2,2219.71,35,1,6,66.24
231,2020,1990,3,2,1,1,1,1,30,0,2,2219.71,35,1,6,66.24
231,2020,2000,2,2,5,1,1,1,20,1,6,2219.71,35,1,6,66.24
231,2020,1985,6,3,3,1,1,1,35,0,1,2219.71,35,1,6,66.24
231,2020,1985,8,1,1,1,1,1,35,1,1,2219.71,35,1,6,66.24
231,2020,1985,5,2,3,1,1,1,35,0,1,2219.71,35,1,6,66.24
231,2020,1996,9,2,3,1,1,1,24,0,1,2219.71,35,1,6,66.24
231,2020,1964,7,6,1,1,1,1,56,1,3,2219.71,35,1,6,66.24
231,2020,1986,8,5,1,1,1,1,34,1,1,2219.71,35,1,6,66.24
231,2020,2000,7,3,4,1,1,1,20,0,6,2219.71,35,1,6,66.24
231,2020,1993,5,3,3,1,1,1,27,1,1,2219.71,35,1,6,66.24
231,2020,2000,8,1,3,1,1,1,20,0,6,2219.71,35,1,6,66.24
231,2020,1994,3,2,3,1,1,1,26,1,1,2219.71,35,1,6,66.24
231,2020,1994,8,8,6,1,1,1,26,1,6,2219.71,35,1,6,66.24
231,2020,1975,9,6,NA,1,1,1,45,1,3,2219.71,35,1,6,66.24
231,2020,1970,7,5,1,1,1,1,50,0,1,2219.71,35,1,6,66.24
231,2020,1998,5,3,1,1,1,1,22,1,1,2219.71,35,1,6,66.24
231,2020,1990,7,3,2,1,1,1,30,0,1,2219.71,35,1,6,66.24
231,2020,1976,6,5,2,1,1,1,44,1,1,2219.71,35,1,6,66.24
231,2020,1998,2,1,NA,1,1,1,22,0,6,2219.71,35,1,6,66.24
231,2020,2002,5,3,1,1,1,1,18,1,6,2219.71,35,1,6,66.24
231,2020,1985,4,3,1,1,1,1,35,0,1,2219.71,35,1,6,66.24
231,2020,1990,6,5,5,1,1,1,30,0,1,2219.71,35,1,6,66.24
231,2020,1970,6,4,NA,1,1,1,50,1,5,2219.71,35,1,6,66.24
231,2020,1975,5,5,1,1,1,1,45,0,1,2219.71,35,1,6,66.24
231,2020,1996,4,6,3,1,1,1,24,1,6,2219.71,35,1,6,66.24
231,2020,1998,4,8,5,1,1,1,22,0,6,2219.71,35,1,6,66.24
231,2020,1998,1,9,1,1,1,1,22,1,3,2219.71,35,1,6,66.24
231,2020,1995,5,4,5,1,1,1,25,0,6,2219.71,35,1,6,66.24
231,2020,1980,5,4,1,1,1,1,40,1,1,2219.71,35,1,6,66.24
231,2020,1972,5,4,3,1,1,1,48,0,1,2219.71,35,1,6,66.24
231,2020,1993,8,1,NA,1,1,1,27,1,1,2219.71,35,1,6,66.24
231,2020,1982,6,4,1,1,1,1,38,0,1,2219.71,35,1,6,66.24
231,2020,1960,1,8,NA,1,1,1,60,1,3,2219.71,35,1,6,66.24
231,2020,1994,4,5,1,1,1,1,26,1,3,2219.71,35,1,6,66.24
231,2020,1941,10,8,5,1,1,1,79,0,2,2219.71,35,1,6,66.24
231,2020,1990,1,8,NA,1,1,1,30,1,1,2219.71,35,1,6,66.24
231,2020,1995,1,1,6,1,1,1,25,0,6,2219.71,35,1,6,66.24
231,2020,1968,10,1,1,1,1,1,52,0,3,2219.71,35,1,6,66.24
231,2020,1998,6,NA,5,1,1,1,22,1,6,2219.71,35,1,6,66.24
231,2020,1975,1,1,NA,1,1,1,45,0,1,2219.71,35,1,6,66.24
231,2020,1988,7,6,2,1,1,1,32,1,3,2219.71,35,1,6,66.24
231,2020,1998,4,4,5,1,1,1,22,0,6,2219.71,35,1,6,66.24
231,2020,2002,10,3,4,1,1,1,18,1,6,2219.71,35,1,6,66.24
231,2020,1993,5,4,2,1,1,1,27,0,1,2219.71,35,1,6,66.24
231,2020,2002,4,3,3,1,1,1,18,1,6,2219.71,35,1,6,66.24
231,2020,1981,1,3,3,1,1,1,39,0,1,2219.71,35,1,6,66.24
231,2020,1960,2,1,1,1,1,1,60,1,5,2219.71,35,1,6,66.24
231,2020,1980,5,1,NA,1,1,1,40,0,1,2219.71,35,1,6,66.24
231,2020,1984,8,4,3,1,1,1,36,1,1,2219.71,35,1,6,66.24
231,2020,1982,7,5,3,1,1,1,38,0,6,2219.71,35,1,6,66.24
231,2020,1996,7,5,6,1,1,1,24,0,6,2219.71,35,1,6,66.24
231,2020,1999,9,3,2,1,1,1,21,1,6,2219.71,35,1,6,66.24
231,2020,1993,7,4,2,1,1,1,27,0,6,2219.71,35,1,6,66.24
231,2020,1997,7,5,1,1,1,1,23,1,1,2219.71,35,1,6,66.24
231,2020,1968,8,4,2,1,1,1,52,0,1,2219.71,35,1,6,66.24
231,2020,1998,6,5,6,1,1,1,22,1,6,2219.71,35,1,6,66.24
231,2020,1975,7,7,3,1,1,1,45,0,1,2219.71,35,1,6,66.24
231,2020,1989,6,5,5,1,1,1,31,1,1,2219.71,35,1,6,66.24
231,2020,1964,1,1,1,1,1,1,56,0,1,2219.71,35,1,6,66.24
231,2020,2000,6,6,1,1,1,1,20,1,6,2219.71,35,1,6,66.24
