"","state","friday","deaths","positives","negatives"
"1","AK",2020-10-16,6,1400,28194
"2","AL",2020-10-16,133,6909,38906
"3","AR",2020-10-16,162,7394,80235
"4","AZ",2020-10-16,60,5402,60783
"5","CA",2020-10-16,402,22870,862589
"6","CO",2020-10-16,32,6133,59752
"7","CT",2020-10-16,12,2792,168302
"8","DC",2020-10-16,7,412,33150
"9","DE",2020-10-16,11,897,15878
"10","FL",2020-10-16,658,19516,136007
"11","GA",2020-10-16,208,8818,132823
"12","IA",2020-10-16,86,6759,7215
"13","ID",2020-10-16,14,4184,15313
"14","IL",2020-10-16,220,23205,418733
"15","IN",2020-10-16,126,12002,57511
"16","KS",2020-10-16,96,5048,23952
"17","KY",2020-10-16,58,7050,123294
"18","LA",2020-10-16,92,4320,111245
"19","MA",2020-10-16,120,4645,101916
"20","MD",2020-10-16,42,4170,70920
"21","ME",2020-10-16,2,199,42390
"22","MI",2020-10-16,117,11303,249091
"23","MN",2020-10-16,38,10084,93329
"24","MO",2020-10-16,64,13407,-51763
"25","MS",2020-10-16,80,5574,24889
"26","MT",2020-10-16,29,4196,34520
"27","NC",2020-10-16,163,14192,214254
"28","ND",2020-10-16,67,4477,7190
"29","NE",2020-10-16,21,5369,29430
"30","NH",2020-10-16,16,636,17551
"31","NJ",2020-10-16,37,5791,216620
"32","NM",2020-10-16,23,3202,50245
"33","NV",2020-10-16,50,4092,14463
"34","NY",2020-10-16,67,9411,815280
"35","OH",2020-10-16,60,11889,253636
"36","OK",2020-10-16,63,8220,87957
"37","OR",2020-10-16,20,2409,42109
"38","PA",2020-10-16,149,9778,103279
"39","RI",2020-10-16,22,1397,20719
"40","SC",2020-10-16,85,6577,107172
"41","SD",2020-10-16,30,4590,8247
"42","TN",2020-10-16,139,12490,145251
"43","TX",2020-10-16,471,29848,435168
"44","UT",2020-10-16,32,8667,47594
"45","VA",2020-10-16,64,7475,121191
"46","VT",2020-10-16,0,69,6097
"47","WA",2020-10-16,49,4267,148454
"48","WI",2020-10-16,137,22596,71907
"49","WV",2020-10-16,20,1873,48083
"50","AK",2020-10-09,3,1136,22644
"51","AL",2020-10-09,103,6767,45940
"52","AR",2020-10-09,112,4366,53595
"53","AZ",2020-10-09,53,4321,60781
"54","CA",2020-10-09,442,21329,846737
"55","CO",2020-10-09,35,4567,58447
"56","CT",2020-10-09,17,1741,118388
"57","DC",2020-10-09,5,420,27687
"58","DE",2020-10-09,9,890,13194
"59","FL",2020-10-09,642,17117,149524
"60","GA",2020-10-09,242,8398,134218
"61","IA",2020-10-09,65,5628,27181
"62","ID",2020-10-09,31,3865,12296
"63","IL",2020-10-09,202,16171,398379
"64","IN",2020-10-09,105,8853,56061
"65","KS",2020-10-09,65,4696,24376
"66","KY",2020-10-09,45,7729,96756
"67","LA",2020-10-09,90,4580,88058
"68","MA",2020-10-09,87,4070,102783
"69","MD",2020-10-09,40,3937,63645
"70","ME",2020-10-09,1,198,41564
"71","MI",2020-10-09,90,7820,233448
"72","MN",2020-10-09,62,7946,88546
"73","MO",2020-10-09,251,9767,63663
"74","MS",2020-10-09,81,4123,65812
"75","MT",2020-10-09,20,3544,29840
"76","NC",2020-10-09,139,12747,198834
"77","ND",2020-10-09,43,3346,7538
"78","NE",2020-10-09,21,3874,26329
"79","NH",2020-10-09,7,344,9415
"80","NJ",2020-10-09,32,5384,201477
"81","NM",2020-10-09,17,2095,43461
"82","NV",2020-10-09,48,3411,20188
"83","NY",2020-10-09,64,10067,800649
"84","OH",2020-10-09,89,9293,256921
"85","OK",2020-10-09,47,7529,84282
"86","OR",2020-10-09,34,2363,31015
"87","PA",2020-10-09,129,8024,94794
"88","RI",2020-10-09,12,1218,20934
"89","SC",2020-10-09,121,6491,108025
"90","SD",2020-10-09,40,3693,14199
"91","TN",2020-10-09,217,12600,185158
"92","TX",2020-10-09,537,29826,347462
"93","UT",2020-10-09,31,8133,47332
"94","VA",2020-10-09,94,6962,119071
"95","VT",2020-10-09,0,78,5502
"96","WA",2020-10-09,51,3802,127965
"97","WI",2020-10-09,88,17683,73091
"98","WV",2020-10-09,21,1400,39724
"99","AK",2020-10-02,6,838,27120
"100","AL",2020-10-02,59,6040,43248
"101","AR",2020-10-02,125,5833,123129
"102","AZ",2020-10-02,106,3396,51760
"103","CA",2020-10-02,588,23237,792947
"104","CO",2020-10-02,27,4001,60402
"105","CT",2020-10-02,12,1710,155549
"106","DC",2020-10-02,6,260,20272
"107","DE",2020-10-02,11,852,10057
"108","FL",2020-10-02,647,15917,129610
"109","GA",2020-10-02,232,8120,114399
"110","IA",2020-10-02,65,5514,25497
"111","ID",2020-10-02,15,3327,12105
"112","IL",2020-10-02,180,14011,385896
"113","IN",2020-10-02,90,7233,49827
"114","KS",2020-10-02,66,4519,23828
"115","KY",2020-10-02,48,5661,173611
"116","LA",2020-10-02,101,3674,97710
"117","MA",2020-10-02,115,4150,109665
"118","MD",2020-10-02,33,3863,63438
"119","ME",2020-10-02,2,233,42663
"120","MI",2020-10-02,83,6619,214817
"121","MN",2020-10-02,66,7177,88717
"122","MO",2020-10-02,150,9099,43925
"123","MS",2020-10-02,105,3526,8489
"124","MT",2020-10-02,16,2291,24955
"125","NC",2020-10-02,199,10353,181734
"126","ND",2020-10-02,35,2809,6869
"127","NE",2020-10-02,31,3454,23506
"128","NH",2020-10-02,4,490,30228
"129","NJ",2020-10-02,38,4529,188887
"130","NM",2020-10-02,23,1437,41579
"131","NV",2020-10-02,36,3429,21870
"132","NY",2020-10-02,51,7874,644687
"133","OH",2020-10-02,171,7915,268240
"134","OK",2020-10-02,51,7039,82457
"135","OR",2020-10-02,21,1849,32538
"136","PA",2020-10-02,98,7081,88574
"137","RI",2020-10-02,11,895,14980
"138","SC",2020-10-02,112,5283,106302
"139","SD",2020-10-02,21,2968,9346
"140","TN",2020-10-02,163,8949,147220
"141","TX",2020-10-02,531,27452,427841
"142","UT",2020-10-02,26,6627,43739
"143","VA",2020-10-02,114,5254,116295
"144","VT",2020-10-02,0,37,5543
"145","WA",2020-10-02,52,3878,97547
"146","WI",2020-10-02,79,17619,61926
"147","WV",2020-10-02,25,1354,39751
"148","AK",2020-09-25,6,615,22424
"149","AL",2020-09-25,63,7795,53172
"150","AR",2020-09-25,93,5864,54725
"151","AZ",2020-09-25,136,3425,62280
"152","CA",2020-09-25,586,24209,850852
"153","CO",2020-09-25,24,4072,49492
"154","CT",2020-09-25,9,1060,95943
"155","DC",2020-09-25,4,311,26157
"156","DE",2020-09-25,11,719,10017
"157","FL",2020-09-25,696,18227,149506
"158","GA",2020-09-25,337,9777,135765
"159","IA",2020-09-25,47,5834,31116
"160","ID",2020-09-25,23,2745,11585
"161","IL",2020-09-25,152,13849,367057
"162","IN",2020-09-25,71,5724,54300
"163","KS",2020-09-25,36,4307,23714
"164","KY",2020-09-25,48,4938,195539
"165","LA",2020-09-25,104,3830,105249
"166","MA",2020-09-25,101,2899,110980
"167","MD",2020-09-25,48,3297,64320
"168","ME",2020-09-25,2,230,41740
"169","MI",2020-09-25,73,5877,211405
"170","MN",2020-09-25,44,6382,65937
"171","MO",2020-09-25,214,10169,72616
"172","MS",2020-09-25,114,4097,88857
"173","MT",2020-09-25,24,1693,25868
"174","NC",2020-09-25,202,13312,145285
"175","ND",2020-09-25,14,2655,6786
"176","NE",2020-09-25,20,2810,17919
"177","NH",2020-09-25,0,183,9450
"178","NJ",2020-09-25,36,3252,183543
"179","NM",2020-09-25,23,1025,39181
"180","NV",2020-09-25,49,2657,22078
"181","NY",2020-09-25,23,5703,606113
"182","OH",2020-09-25,126,6298,236190
"183","OK",2020-09-25,54,7953,78494
"184","OR",2020-09-25,21,1972,31512
"185","PA",2020-09-25,147,5520,83592
"186","RI",2020-09-25,19,561,13918
"187","SC",2020-09-25,120,7584,107479
"188","SD",2020-09-25,18,2479,7764
"189","TN",2020-09-25,156,8957,150546
"190","TX",2020-09-25,651,46311,422337
"191","UT",2020-09-25,11,6755,44725
"192","VA",2020-09-25,187,5731,136683
"193","VT",2020-09-25,0,25,5155
"194","WA",2020-09-25,43,2636,75973
"195","WI",2020-09-25,38,14175,68387
"196","WV",2020-09-25,33,1270,30991
"197","AK",2020-09-18,2,563,23144
"198","AL",2020-09-18,95,6160,35973
"199","AR",2020-09-18,220,5099,64722
"200","AZ",2020-09-18,163,5419,77476
"201","CA",2020-09-18,723,23640,701886
"202","CO",2020-09-18,22,2960,41599
"203","CT",2020-09-18,12,1201,89963
"204","DC",2020-09-18,3,359,25323
"205","DE",2020-09-18,7,900,11040
"206","FL",2020-09-18,729,19279,142226
